ticks (50 tps),lower angle,upper angle,holding angle,system x,acceleration,lower acceleration (shoulder),upper acceleration (elbow),,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2835,0.872358457,1.771547794,0,-0.111964574,0.000161178,-0.187466785,-0.392715275,,,,,,,,,,,
2836,0.868476288,1.779729962,0,-0.101920974,0.000165059,-0.194110543,-0.409119368,,,,,,,,,,,
2837,0.864475207,1.788208127,0,-0.091663479,0.000168516,-0.200055525,-0.423912942,,,,,,,,,,,
2838,0.860368804,1.796949506,0,-0.081212874,0.000171631,-0.205318227,-0.437061846,,,,,,,,,,,
2839,0.856171147,1.805920362,0,-0.070591737,0.000174373,-0.209881291,-0.448553145,,,,,,,,,,,
2840,0.851896302,1.815088153,0,-0.059826016,0.000176686,-0.213743836,-0.458384156,,,,,,,,,,,
2841,0.847558037,1.824419022,0,-0.048936726,0.000178655,-0.216915101,-0.466545492,,,,,,,,,,,
2842,0.843170182,1.833879709,0,-0.037947415,0.000180233,-0.219392583,-0.473032117,,,,,,,,,,,
2843,0.838746564,1.843436599,0,-0.026881458,0.00018143,-0.221184313,-0.477850258,,,,,,,,,,,
2844,0.834300951,1.85305655,0,-0.01576361,0.00018222,-0.222284064,-0.481001973,,,,,,,,,,,
2845,0.829846517,1.862706184,0,-0.004614361,0.000182671,-0.222719371,-0.482489735,,,,,,,,,,,
2846,0.825396911,1.872353077,0,0.006539249,0.000182681,-0.222482637,-0.482341647,,,,,,,,,,,
2847,0.820965127,1.881964445,0,0.017675107,0.000182329,-0.221591085,-0.480565995,,,,,,,,,,,
2848,0.81656398,1.891507864,0,0.028770769,0.000181611,-0.220058307,-0.477174938,,,,,,,,,,,
2849,0.812206165,1.900951862,0,0.039801745,0.000180491,-0.217890903,-0.472200155,,,,,,,,,,,
2850,0.807903961,1.910265088,0,0.050745555,0.000179005,-0.215113282,-0.465663612,,,,,,,,,,,
2851,0.803669349,1.919416904,0,0.061579562,0.000177148,-0.211732611,-0.457591951,,,,,,,,,,,
2852,0.79951419,1.928377151,0,0.072280254,0.00017491,-0.207758516,-0.448003292,,,,,,,,,,,
2853,0.795449809,1.937116146,0,0.082826283,0.000172325,-0.203223497,-0.436955094,,,,,,,,,,,
2854,0.791487292,1.94560504,0,0.093195625,0.000169382,-0.198127523,-0.424453586,,,,,,,,,,,
2855,0.787637309,1.953816175,0,0.103366214,0.000166081,-0.192498416,-0.410550624,,,,,,,,,,,
2856,0.783910529,1.96172154,0,0.113316292,0.000162425,-0.186339676,-0.395263076,,,,,,,,,,,
2857,0.780316786,1.969294548,0,0.12302665,0.00015846,-0.17968747,-0.37866056,,,,,,,,,,,
2858,0.776865796,1.976509809,0,0.132476248,0.000154156,-0.172550112,-0.360763133,,,,,,,,,,,
2859,0.773567037,1.983341932,0,0.141645571,0.000149534,-0.164939493,-0.341608316,,,,,,,,,,,
2860,0.770429389,1.989767075,0,0.150516097,0.000144613,-0.156885222,-0.321260214,,,,,,,,,,,
2861,0.767461554,1.995761752,0,0.159069918,0.000139402,-0.148391798,-0.299734533,,,,,,,,,,,
2862,0.764671759,2.001303911,0,0.167289796,0.000133914,-0.139485702,-0.277096689,,,,,,,,,,,
2863,0.762068049,2.006371498,0,0.175160039,0.000128176,-0.130188167,-0.253387392,,,,,,,,,,,
2864,0.759657995,2.010944366,0,0.182664967,0.000122186,-0.120502055,-0.228648543,,,,,,,,,,,
2865,0.757448868,2.015003204,0,0.189789911,0.000115959,-0.110454254,-0.202932924,,,,,,,,,,,
2866,0.755447523,2.018528938,0,0.19652325,0.000109549,-0.100068413,-0.176286876,,,,,,,,,,,
2867,0.753660635,2.021504164,0,0.202852217,0.000102936,-0.089345656,-0.148763999,,,,,,,,,,,
2868,0.752094285,2.02391243,0,0.208767174,9.62E-05,-0.078314073,-0.120406747,,,,,,,,,,,
2869,0.75075467,2.025737762,0,0.214257827,8.92E-05,-0.066980146,-0.091265649,,,,,,,,,,,
2870,0.749647216,2.026965618,0,0.219317499,8.22E-05,-0.055371776,-0.061391123,,,,,,,,,,,
2871,0.748777405,2.027582169,0,0.223939002,7.51E-05,-0.043493167,-0.030834176,,,,,,,,,,,
