lower angle,upper angle,system x,acceleration,holding angle,ticks (50 tps)
1.248468743,0.771412134,-0.061814526,-5.44E-05,0,402
1.247683005,0.773392737,-0.062247705,-4.02E-05,0,403
1.246764825,0.775660098,-0.06252909,-2.60E-05,0,404
1.245713876,0.778214931,-0.062657711,-1.19E-05,0,405
1.244530217,0.781057298,-0.062633851,2.20E-06,0,406
1.243214325,0.784186244,-0.062457692,1.62E-05,0,407
1.241766975,0.787600338,-0.062130504,3.00E-05,0,408
1.24018927,0.791297197,-0.061652729,4.38E-05,0,409
1.23848273,0.79527384,-0.061026688,5.73E-05,0,410
1.236649231,0.799526393,-0.060254505,7.05E-05,0,411
1.234690861,0.804050386,-0.059337828,8.35E-05,0,412
1.232610242,0.808840513,-0.058280417,9.62E-05,0,413
1.230410115,0.813890934,-0.05708484,0.000108549,0,414
1.22809367,0.819195092,-0.055755336,0.000120478,0,415
1.225664244,0.824745774,-0.054294741,0.000132092,0,416
1.223125563,0.830535233,-0.05270774,0.000143241,-0.01,417
1.220537589,0.836446226,-0.051121569,0.000142897,-0.01,418
1.21790366,0.842471361,-0.04953847,0.000142351,-0.01,419
1.215227352,0.848602891,-0.047961723,0.000141508,-0.01,420
1.212512271,0.854833424,-0.046396615,0.000140203,-0.01,421
1.209761814,0.86115551,-0.044845841,0.000138655,-0.01,422
1.206979529,0.867561817,-0.043314334,0.000136673,-0.01,423
1.204168663,0.874045074,-0.041804003,0.00013453,-0.01,424
1.201332615,0.880598366,-0.04032009,0.000131929,0,425
1.198420153,0.887320638,-0.038745742,0.00013971,0,426
1.195435301,0.894203603,-0.03708661,0.000146958,0,427
1.192381934,0.901238799,-0.035345899,0.000153894,0,428
1.189264105,0.908417821,-0.033529097,0.000160326,0,429
1.186085985,0.915731728,-0.031640605,0.000166343,0,430
1.182851897,0.923171341,-0.029685426,0.000171898,0,431
1.179566161,0.930727422,-0.027668343,0.00017701,0,432
1.176233278,0.938390195,-0.025593738,0.000181723,0,433
1.172857777,0.946150064,-0.023467187,0.00018593,0,434
1.169444249,0.953997135,-0.02129364,0.000189687,0,435
1.165997312,0.961921453,-0.019078181,0.000192984,0,436
1.162521706,0.969912946,-0.016826732,0.000195761,0,437
1.159022049,0.977961361,-0.014543201,0.000198191,0,438
1.155503021,0.986056805,-0.012233822,0.00020006,0,439
1.151969359,0.994188905,-0.009903445,0.00020152,0,440
1.148425655,1.002347589,-0.007556718,0.000202566,0,441
1.144876615,1.010522723,-0.005199414,0.00020311,0,442
1.141326771,1.018704295,-0.002835997,0.000203258,0,443
1.137780682,1.026882529,-0.000472395,0.000202914,0,444
1.134242878,1.035047293,0.001887243,0.00020221,0,445
1.13071774,1.04318893,0.004238175,0.000201101,0,446
1.127209649,1.051297784,0.006575556,0.000199563,0,447
1.123722808,1.059364676,0.008894278,0.00019763,0,448
1.120261417,1.067380309,0.011189647,0.000195301,0,449
1.11682953,1.075335503,0.013457924,0.000192653,0,450
1.113431142,1.083221436,0.015694362,0.000189611,0,451
1.110070066,1.091029525,0.01789498,0.000186241,0,452
1.106750027,1.098751426,0.020055623,0.000182531,0,453
1.103474663,1.106379032,0.022171962,0.000178468,0,454
1.100247518,1.113904238,0.02424051,0.00017413,0,455
1.097071842,1.12131989,0.026256785,0.000169429,0,456
1.093950943,1.128618121,0.028218593,0.000164576,0,457
1.09088786,1.135792255,0.030121451,0.000159361,0,458
1.087885545,1.142835379,0.031962721,0.00015394,0,459
1.084946797,1.149741054,0.033739244,0.000148267,0,460
1.08207433,1.15650332,0.035446739,0.000142268,0,461
1.079270647,1.163115859,0.037084485,0.000136216,0,462
1.076538072,1.169573545,0.038648621,0.000129875,0,463
1.073878841,1.175871015,0.04013713,0.00012337,0,464
1.071295098,1.182003737,0.04154545,0.000116521,0,465
1.068788664,1.187966585,0.042874759,0.000109791,0,466
1.066361443,1.193755627,0.044120417,0.000102705,0,467
1.064015047,1.199366927,0.045280803,9.55E-05,0,468
1.061750905,1.204796672,0.046355594,8.83E-05,0,469
1.059570328,1.210042,0.047341807,8.09E-05,0,470
1.05747451,1.215099812,0.048238613,7.34E-05,0,471
1.055464582,1.219967484,0.049043864,6.58E-05,0,472
1.053541259,1.224642873,0.049757708,5.83E-05,0,473
1.051705436,1.229124069,0.05037754,5.05E-05,0,474
1.049957589,1.233409405,0.050904015,4.28E-05,0,475
1.048298256,1.237497568,0.051335772,3.51E-05,0,476
1.046727673,1.241387963,0.051671626,2.72E-05,0,477
1.045246021,1.245079756,0.051911958,1.94E-05,0,478
1.043853299,1.248572826,0.052056134,1.16E-05,0,479
1.042549388,1.251867294,0.052103804,3.84E-06,0,480
1.04133393,1.254963398,0.052056563,-3.80E-06,0,481
1.040206687,1.257861972,0.05191251,-1.16E-05,0,482
1.039167003,1.260564089,0.051673011,-1.92E-05,0,483
1.038214163,1.26307106,0.051339129,-2.67E-05,0,484
1.037347452,1.265384674,0.050910111,-3.43E-05,0,485
1.036565797,1.267506957,0.050387872,-4.17E-05,0,486
1.035868124,1.269440174,0.049773445,-4.90E-05,0,487
1.035253243,1.271186948,0.049067701,-5.61E-05,0,488
1.034719781,1.272750139,0.048272406,-6.32E-05,0,489
1.034266369,1.274133325,0.047386595,-7.02E-05,0,490
1.033891277,1.275339484,0.046415215,-7.69E-05,0,491
1.033592776,1.27637291,0.045358163,-8.35E-05,0,492
1.03336914,1.277237535,0.044216781,-9.00E-05,0,493
1.03321828,1.277937651,0.042994607,-9.63E-05,0,494
1.033138172,1.278477907,0.041693247,-0.000102329,0,495
1.033126609,1.27886343,0.040314277,-0.000108253,0,496
1.033181266,1.279099107,0.038861416,-0.000113865,0,497
1.0332997,1.27919066,0.037336371,-0.000119323,0,498
1.033479468,1.279143691,0.035741351,-0.000124591,0,499
1.033717887,1.278964043,0.034080033,-0.000129558,0,500
1.034012214,1.278658032,0.032354873,-0.000134316,0,501
1.03435965,1.278231859,0.030569409,-0.000138783,0,502
1.034757213,1.277692199,0.028727129,-0.000142966,0,503
1.035201983,1.277045846,0.026830495,-0.000146942,0,504
1.03569086,1.276299953,0.024882379,-0.000150688,0,505
1.036220566,1.275461435,0.022888361,-0.000153988,0,506
1.036787943,1.274537921,0.020850094,-0.00015715,0,507
1.037389652,1.273536682,0.018772397,-0.00015993,0,508
1.038022236,1.272465587,0.016658977,-0.000162417,0,509
1.038682357,1.271332264,0.014513291,-0.000164643,0,510
1.03936644,1.270144939,0.012338858,-0.000166565,0,511
1.040070848,1.268911481,0.010141179,-0.000168072,0,512
1.040792004,1.267639995,0.007924249,-0.000169286,0,513
1.041526333,1.266338944,0.005690674,-0.000170282,0,514
1.042270199,1.265016317,0.003445507,-0.00017089,0,515
1.043019728,1.263680696,0.001193853,-0.000171108,0,516
1.043771283,1.262340546,-0.001061085,-0.000171086,0,517
1.044521109,1.26100409,-0.003313991,-0.000170657,0,518
1.045265512,1.259679914,-0.005561534,-0.000169981,0,519
1.046000675,1.258376479,-0.007798733,-0.000168928,0,520
1.046722964,1.257102132,-0.01002192,-0.000167605,0,521
1.047428564,1.255865216,-0.012225643,-0.000165874,0,522
1.048113779,1.254674196,-0.0144061,-0.00016387,0,523
1.048775033,1.253537178,-0.016559277,-0.000161566,0,524
1.049408631,1.252462268,-0.018679964,-0.000158878,0,525
1.050011055,1.251457691,-0.020765195,-0.000155975,0,526
1.050578789,1.250531077,-0.022809663,-0.000152687,0,527
1.051108317,1.249690533,-0.024809911,-0.00014915,0,528
1.051596359,1.248943329,-0.026761589,-0.0001453,0,529
1.05203958,1.248296857,-0.028660198,-0.000141126,0,530
1.052434818,1.247758508,-0.030503005,-0.000136754,0,531
1.052778916,1.247335315,-0.032285858,-0.000132098,0,532
1.053068892,1.247033834,-0.034004499,-0.000127141,0,533
1.053301887,1.246860623,-0.035655832,-0.000121969,0,534
1.053475098,1.246822119,-0.037236863,-0.000116598,0,535
